<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UBRL.US,D,20240909,000000,23.4498,23.4498,23.4498,23.4498,27,0
UBRL.US,D,20240910,000000,22.799,23.041,22.6558,22.9093,1527,0
UBRL.US,D,20240911,000000,22.96,23.7104,22.96,23.7104,1242,0
UBRL.US,D,20240912,000000,23.32,23.32,22.2543,22.2543,2112,0
UBRL.US,D,20240913,000000,25.04,25.1922,24.17,25.1922,7613,0
UBRL.US,D,20240916,000000,24.7592,24.7592,24.4823,24.4823,1024,0
UBRL.US,D,20240917,000000,25.01,25.76,24.99,25.288,1827,0
UBRL.US,D,20240918,000000,25.7901,26.65,25.7901,25.8589,6549,0
UBRL.US,D,20240919,000000,26.91,27.859,26.91,27.0895,3936,0
UBRL.US,D,20240920,000000,26.75,26.76,25.87,26.0035,7324,0
UBRL.US,D,20240923,000000,26.71,26.83,26.2484,26.6139,6567,0
UBRL.US,D,20240924,000000,27.84,28.5325,27.6732,28.5325,9862,0
UBRL.US,D,20240925,000000,28.7,28.959,28.38,28.38,17644,0
UBRL.US,D,20240926,000000,28.7397,28.7397,26.94,27.992,7644,0
UBRL.US,D,20240927,000000,28.2195,28.2195,27.2931,27.2931,8085,0
UBRL.US,D,20240930,000000,26.81,27.07,26.81,26.91,4439,0
UBRL.US,D,20241001,000000,26.6109,26.6109,25.93,26.26,3230,0
UBRL.US,D,20241002,000000,25.871,25.871,25.189,25.25,2096,0
UBRL.US,D,20241003,000000,25.1664,25.3,25.0896,25.3,1448,0
UBRL.US,D,20241004,000000,25.99,26.18,25.6636,26.18,5816,0
UBRL.US,D,20241007,000000,27.0609,27.08,26.0194,26.41,4137,0
UBRL.US,D,20241008,000000,27.4815,27.6486,27.25,27.45,18386,0
UBRL.US,D,20241009,000000,27.96,28.76,27.96,28.67,7806,0
UBRL.US,D,20241010,000000,28.15,28.969,28.15,28.76,9123,0
UBRL.US,D,20241011,000000,31.74,35.3099,31.6777,34.8857,74625,0
UBRL.US,D,20241014,000000,34.53,34.565,33.22,33.79,45229,0
UBRL.US,D,20241015,000000,33.4,33.4,31.9979,32.42,15075,0
UBRL.US,D,20241016,000000,32.26,32.26,31.38,31.38,6926,0
UBRL.US,D,20241017,000000,29.9,30.5,29.6157,29.82,45437,0
UBRL.US,D,20241018,000000,29.021,29.31,28.94,29.25,21740,0
UBRL.US,D,20241021,000000,30.0969,30.21,29.7395,30.21,12827,0
UBRL.US,D,20241022,000000,30.33,30.6744,30.081,30.14,10116,0
UBRL.US,D,20241023,000000,29.9375,29.9375,29.52,29.72,7510,0
UBRL.US,D,20241024,000000,28.66,28.66,27.73,28.63,16802,0
UBRL.US,D,20241025,000000,28.83,28.88,27.61,28.03,30091,0
UBRL.US,D,20241028,000000,28.5,28.5,28.02,28.1,12179,0
UBRL.US,D,20241029,000000,28.42,29.689,28.3361,29.23,10852,0
