<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RDACR.US,D,20241203,000000,0.1274,0.1274,0.12,0.12,210100,0
RDACR.US,D,20241204,000000,0.122,0.17,0.12,0.1299,359300,0
RDACR.US,D,20241205,000000,0.1303,0.132,0.12,0.12,47797,0
RDACR.US,D,20241206,000000,0.122,0.125,0.12,0.122,201500,0
RDACR.US,D,20241212,000000,0.14,0.14,0.14,0.14,11247,0
RDACR.US,D,20241216,000000,0.145,0.145,0.1443,0.145,4600,0
RDACR.US,D,20241217,000000,0.15078,0.15078,0.12001,0.1201,26100,0
RDACR.US,D,20241218,000000,0.1561,0.1561,0.14,0.14,7232,0
RDACR.US,D,20241220,000000,0.1442,0.1442,0.1414,0.1414,2000,0
RDACR.US,D,20241223,000000,0.1476,0.1477,0.1476,0.1476,1200,0
RDACR.US,D,20241231,000000,0.146237,0.146237,0.1414,0.1414,742,0
